Name ;Location;Headcounts;Industry;Year Founded;Specialities ;Type;Website;
 AIS;St.-Herblain, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;291;IT Services and IT Consulting;1985;;Self-Owned;groupeais.fr;
 DEPHI;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;26;Financial Services;2009;;Privately Held;dephi.fr;
 ASCOT;Paris, Paris, Île-De-France, France, Europe;59;IT Services and IT Consulting;1988;;Privately Held;ascot.com;
 Razer Malaysia;Tourcoing, Nord, Hauts-de-France, France, Lille, Europe;160;IT Services and IT Consulting;2000;;Privately Held;razermalaysia.com;
 Groupe Orqual;Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France, Pau, Europe;40;Software Development;2001;;Privately Held;helioparc.fr;
 AGB;Fontainebleau, Seine-et-Marne, Île-De-France, France, Fontainebleau, Europe;95;Financial Services;2018;;Privately Held;pays-fontainebleau.fr;
 Trésorerie;Le Muy, Var, Provence-Alpes-Côte D'Azur, France, Draguignan, Europe;81;Financial Services;;;;tresorerie.com;
 Arkéa Asset Management;Le Relecq-Kerhuon, Finistère, Bretagne, France, Brest, Europe;170;Financial Services;;;Privately Held;arkea-am.com;
 Libriciel SCOP;Castelnau-le-Lez, Hérault, Occitanie, France, Montpellier, Europe;63;Software Development;2006;;Partnership;libriciel.fr;
 FFJ;Cérans-Foulletourte, Sarthe, Pays de la Loire, France, La Flèche, Europe;23;Financial Services;;;;ffjudo.com;
 ZEROSIX;Montpellier, Hérault, Occitanie, France, Montpellier, Europe;29;Software Development;2014;;Privately Held;zerosix.com;
 Creative Valley;Le Kremlin-Bicêtre, Val-de-Marne, Île-De-France, France, L'Haÿ-les-Roses, Europe;24;IT Services and IT Consulting;;;Partnership;creative-valley.fr;
 MGI Consultants;Paris, Paris, Île-De-France, France, Europe;238;IT Services and IT Consulting;1991;;Privately Held;mgiconsultants.fr;
 Bitstack;Paris, Paris, Île-De-France, France, Europe;50;Financial Services;2021;;Privately Held;bitstack-app.com;
 INFORSUD Technologies;Bozouls, Aveyron, Occitanie, France, Rodez, Europe;49;IT Services and IT Consulting;1985;;Privately Held;inforsudtechnologies.fr;
 grenke France;Schiltigheim, Bas-Rhin, Grand Est, France, Strasbourg, Europe;218;Financial Services;1999;;Public Company;grenke.fr;
 SECRETA;Paris, Paris, Île-De-France, France, Europe;85;Financial Services;;;;secreta.com;
 Percall Group;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;350;IT Services and IT Consulting;2000;;Privately Held;percallgroup.com;
 DIGITECH GROUP;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;22;Software Development;1992;;Privately Held;digitech.fr;
 Axelor;Champs-sur-Marne, Seine-et-Marne, Île-De-France, France, Torcy, Europe;129;Software Development;;;Privately Held;axelor.com;
 Ametys;Labège, Haute-Garonne, Occitanie, France, Toulouse, Europe;21;Software Development;;;Privately Held;mediane-informatique.fr;
 Cecurity.com;Paris, Paris, Île-De-France, France, Europe;55;IT Services and IT Consulting;2001;;Public Company;cecurity.com;
 Travelor;Sainte-Maure-de-Touraine, Indre-et-Loire, Centre-Val de Loire, France, Loches, Europe;97;Technology, Information and Internet;2014;;Privately Held;travelor.com;
 SINARI (ex-OMP Informatique Transport);Cesson-Sévigné, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;23;Software Development;;;Partnership;sinari.com;
 VR CONSEIL;Paris, Paris, Île-De-France, France, Europe;23;IT Services and IT Consulting;2004;;Privately Held;morgen-capital.fr;
 IngeTech;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;28;Software Development;2012;;Privately Held;ingetech.fr;
 GreenFinance;Juziers, Yvelines, Île-De-France, France, Mantes-la-Jolie, Europe;20;Financial Services;2012;;Privately Held;greenfinance.fr;
 ConsulTech SA;Lumio, Haute-Corse, Corse, France, Calvi, Europe;26;Software Development;2005;;Privately Held;domainseller.site;
 SUPRALOG;Valbonne, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Grasse, Europe;38;Software Development;1997;;Partnership;supralog.com;
 Pas-de-Calais Actif;Lens, Pas-de-Calais, Hauts-de-France, France, Lens, Europe;28;Financial Services;1995;;Nonprofit;pasdecalaisactif.fr;
 Open Food Facts;Paris, Paris, Île-De-France, France, Europe;32;Technology, Information and Internet;2012;;Nonprofit;openfoodfacts.org;
 UFPI;Montpellier, Hérault, Occitanie, France, Montpellier, Europe;160;Financial Services;2022;;Privately Held;ufpi.com;
 Clay Group;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;41;IT Services and IT Consulting;2024;;Privately Held;clay.com;
 Incenteev;Paris, Paris, Île-De-France, France, Europe;32;Software Development;2010;;Privately Held;incenteev.com;
 Ringover France;Montrouge, Hauts-de-Seine, Île-De-France, France, Antony, Europe;282;Software Development;2018;;Partnership;ringover.fr;
 DLPK;Paris, Paris, Île-De-France, France, Europe;87;Financial Services;2018;;Privately Held;dlpk.fr;
 PMPL;Paris, Paris, Île-De-France, France, Europe;85;Financial Services;;;;pmpl.com;
 Agence Pure illusion - Agence digitale;Poisy, Haute-Savoie, Auvergne-Rhône-Alpes, France, Annecy, Europe;24;Technology, Information and Internet;2009;;Privately Held;pure-illusion.com;
 DEVISUBOX;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;64;IT Services and IT Consulting;2007;;Privately Held;devisubox.com;
 InovaGès & NRC;Sainghin-en-Mélantois, Nord, Hauts-de-France, France, Lille, Europe;53;IT Services and IT Consulting;1997;;Privately Held;nrc-inovages.fr;
 ISAGRI;Tillé, Oise, Hauts-de-France, France, Beauvais, Europe;900;Software Development;1983;;Privately Held;isagri.fr;
 BayLibre;Villeneuve, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Grasse, Europe;62;Software Development;2013;;Privately Held;baylibre.com;
 Anytime;Montreuil, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;241;Financial Services;2014;;Partnership;anytime.co;
 Association AMAL;Grenoble, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;36;Technology, Information and Internet;;;;associationamal.com;
 Happy Dev;Paris, Paris, Île-De-France, France, Europe;23;Technology, Information and Internet;2015;;Self-Owned;hugedomains.com;
 Altimate;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;21;IT Services and IT Consulting;1996;;Partnership;altimate.fr;
 MWM;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;97;Software Development;2012;;Partnership;boulognebillancourt.com;
 Orbe;Paris, Paris, Île-De-France, France, Europe;42;Software Development;2009;;Partnership;orbe.fr;
 AGIR RECOUVREMENT;Cholet, Maine-et-Loire, Pays de la Loire, France, Cholet, Europe;91;Financial Services;1993;;Privately Held;agir-recouvrement.com;
 CVM - Coopérative éditoriale;Montreuil, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;21;Technology, Information and Internet;1953;;Nonprofit;cooperative-cvm.fr;
 NSI France;Paris, Paris, Île-De-France, France, Europe;45;IT Services and IT Consulting;1992;;Privately Held;groupensi.com;
 Vocalcom;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;221;Technology, Information and Internet;1995;;Privately Held;vocalcom.com;
 AGIPI;Schiltigheim, Bas-Rhin, Grand Est, France, Strasbourg, Europe;189;Financial Services;1976;;Nonprofit;agipi.com;
 Aether;Paris, Paris, Île-De-France, France, Europe;67;Financial Services;;;Privately Held;aether.io;
 ICD International;Meudon, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;55;Software Development;1988;;Privately Held;expireddomains.com;
 OmnyAI;Paris, Paris, Île-De-France, France, Europe;23;Technology, Information and Internet;2022;;Privately Held;omnyai.com;
 APILOG Automation;Massy, Essonne, Île-De-France, France, Palaiseau, Europe;110;IT Services and IT Consulting;2004;;Privately Held;apilog.com;
 PRIOS GROUPE;Carquefou, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;75;Software Development;1990;;Partnership;prios.fr;
 LE NEW BLACK;Paris, Paris, Île-De-France, France, Europe;21;Technology, Information and Internet;2009;;Privately Held;newblack.com;
 HDMF;Loriol-sur-Drôme, Drôme, Auvergne-Rhône-Alpes, France, Valence, Europe;307;Financial Services;;;;pple.fr;
 Logicmax Technologie;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;35;Software Development;1991;;Privately Held;logicmax.com;
 NewAlpha Asset Management;Paris, Paris, Île-De-France, France, Europe;36;Financial Services;2009;;Privately Held;newalpha.com;
 TRAINVEST;Évreux, Eure, Normandie, France, Évreux, Europe;60;Financial Services;;;;contract-factory.com;
 L'INTERMEDIAIRE BANQUE ET ASSURANCE;Pointe-à-Pitre, Guadeloupe, France, Europe;34;Financial Services;;;;lintermediaire.fr;
 EQUITRANS;Mesland, Loir-et-Cher, Centre-Val de Loire, France, Blois, Europe;41;Financial Services;;;;equitrans.com;
 Paris Fashion Shops;Saint-Denis, Seine-Saint-Denis, Île-De-France, France, Saint-Denis, Europe;60;Technology, Information and Internet;2016;;Privately Held;parisfashion.com;
 Scalair;Ourlet, Nord, Hauts-de-France, France, Lille, Europe;39;IT Services and IT Consulting;;;Privately Held;scalair.fr;
 Centralweb;Paris, Paris, Île-De-France, France, Europe;40;Software Development;1996;;Privately Held;centralweb.fr;
 Aldisa;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;21;IT Services and IT Consulting;1999;;Privately Held;aldisa.fr;
 Eviden Identity & Access Management;Les Clayes-sous-Bois, Yvelines, Île-De-France, France, Versailles, Europe;100;Software Development;;;Privately Held;eviden.com;
 INOP'S;Puteaux, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;99;IT Services and IT Consulting;2009;;Partnership;inops.fr;
 GIE SESAM-Vitale;Le Mans, Sarthe, Pays de la Loire, France, Le Mans, Europe;208;IT Services and IT Consulting;1993;;Nonprofit;sesam-vitale.fr;
 Alliance Services Plus;Paris, Paris, Île-De-France, France, Europe;43;IT Services and IT Consulting;2010;;Privately Held;econocom.com;
 AL - TECH;Mandres-les-Roses, Val-de-Marne, Île-De-France, France, Créteil, Europe;37;Financial Services;;;;optimbtp.fr;
 Enovacom;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;518;Software Development;2002;;Privately Held;enovacom.com;
 Agarik;St.-Ouen, Seine-Saint-Denis, Île-De-France, France, Saint-Denis, Europe;31;Technology, Information and Internet;1997;;Privately Held;agarik.fr;
 BeYs Cloud;Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France, Clermont-Ferrand, Europe;20;Technology, Information and Internet;2020;;Privately Held;be-ys.cloud;
 SIKIA;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;26;IT Services and IT Consulting;2000;;Partnership;sikia.fr;
 Incotec;Illkirch-Graffenstaden, Bas-Rhin, Grand Est, France, Strasbourg, Europe;70;Software Development;1981;;Privately Held;incotec-software.com;
 GRAITEC France;Paris, Paris, Île-De-France, France, Europe;37;Software Development;1986;;Privately Held;graitec.com;
 Innovation Group Ukraine;Centre-Val de Loire, France, Europe;159;Software Development;2010;;Self-Employed;centre-valdeloire.fr;
 blgCloud ERP SaaS;Compiègne, Oise, Hauts-de-France, France, Compiègne, Europe;72;Software Development;2009;;Partnership;blgcloud.fr;
 Nowhere-Entreprise;Pernes-les-Fontaines, Vaucluse, Provence-Alpes-Côte D'Azur, France, Carpentras, Europe;45;Technology, Information and Internet;;;Self-Owned;nowhere-entreprise.com;
 Cleva;Paris, Paris, Île-De-France, France, Europe;375;Software Development;1985;;Privately Held;cleva-solutions.com;
 EIC;Tillé, Oise, Hauts-de-France, France, Beauvais, Europe;220;Software Development;1983;;Partnership;ecoentreprises-france.fr;
 TEVEA International;Paris, Paris, Île-De-France, France, Europe;46;Financial Services;1984;;Privately Held;tevea-international.com;
 Pixid;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;160;Technology, Information and Internet;;;Privately Held;pixid.fr;
 Experts & Co;Villeneuve-d'Ascq, Nord, Hauts-de-France, France, Lille, Europe;28;Financial Services;1997;;Privately Held;hugedomains.com;
 RECOVEO;Roanne, Loire, Auvergne-Rhône-Alpes, France, Roanne, Europe;29;IT Services and IT Consulting;2001;;Privately Held;recoveo.com;
 Lunalogic;Paris, Paris, Île-De-France, France, Europe;51;Financial Services;2000;;Privately Held;lunalogic.com;
 GESTFORM;Mérignac, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;231;IT Services and IT Consulting;1986;;Self-Owned;gestform.com;
 BRD FINANCE;France, Europe;165;Financial Services;;;;brdfinance.com;
 Up2 Technology;Bourg-Argental, Loire, Auvergne-Rhône-Alpes, France, Saint-Étienne, Europe;27;IT Services and IT Consulting;2005;;Public Company;up2technology.com;
 AMG INFORMATIQUE Bourgogne-Franche-Comté;Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France, Dijon, Europe;38;IT Services and IT Consulting;1970;;Privately Held;amginformatique.fr;
 Akuiteo SAS;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;92;Software Development;1994;;Privately Held;akuiteo.com;
 Tuleap;Challes-les-Eaux, Savoie, Auvergne-Rhône-Alpes, France, Chambéry, Europe;21;Software Development;;;Self-Owned;tuleap.com;
 TransWay;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;70;Technology, Information and Internet;2009;;Partnership;transway.fr;
 SAB is now SBS;Fontenay-sous-Bois, Val-de-Marne, Île-De-France, France, Nogent-sur-Marne, Europe;86;Software Development;1989;;Privately Held;numeum.fr;
 Premium Consulting;Paris, Paris, Île-De-France, France, Europe;40;IT Services and IT Consulting;2002;;Self-Owned;premiumconsulting.fr;
 LAGUNTZA;Bussy-Saint-Georges, Seine-et-Marne, Île-De-France, France, Torcy, Europe;21;Financial Services;;;;laguntza.fr;
 Nomination.fr;Paris, Paris, Île-De-France, France, Europe;103;Software Development;2002;;Privately Held;nomination.fr;
 Ctoutvert;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;82;Software Development;2000;;Privately Held;ctoutvert.fr;
 Atelier Particulier;Paris, Paris, Île-De-France, France, Europe;128;Technology, Information and Internet;2014;;Partnership;atelierparticulier.com;
 Centrale Nantes Études;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;30;IT Services and IT Consulting;1982;;Nonprofit;centralenantesetudes.fr;
 argile;Paris, Paris, Île-De-France, France, Europe;25;Technology, Information and Internet;2023;;Privately Held;argile.fr;
 EXTENTIS GROUPE;Paris, Paris, Île-De-France, France, Europe;38;Financial Services;1997;;Self-Owned;extentis.fr;
 Département Informatique - IUT de Montreuil;Montreuil, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;41;Software Development;;;;univ-paris8.fr;
 Hamilton Data Services (HDS);Paris, Paris, Île-De-France, France, Europe;28;Software Development;2003;;Privately Held;hds-group.com;
 Eiffel Investment Group;Paris, Paris, Île-De-France, France, Europe;155;Financial Services;2009;;Privately Held;eiffel-ig.com;
 Logiclever;Neuilly-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;67;IT Services and IT Consulting;2007;;Partnership;logiclever.com;
 Brief.me;Paris, Paris, Île-De-France, France, Europe;20;Technology, Information and Internet;2015;;Privately Held;brief.me;
 Codix;Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Grasse, Europe;677;Software Development;1993;;Privately Held;codix.com;
 Webmecanik;Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France, Annecy, Europe;29;Software Development;2015;;Privately Held;webmecanik.com;
 Telintrans;Rungis, Val-de-Marne, Île-De-France, France, L'Haÿ-les-Roses, Europe;24;IT Services and IT Consulting;1996;;Privately Held;lesechos.fr;
 Segilog S.A.;La Ferté-Bernard, Sarthe, Pays de la Loire, France, Mamers, Europe;25;Software Development;;;;berger-levrault.com;
 Slate.fr;Paris, Paris, Île-De-France, France, Europe;108;Technology, Information and Internet;2009;;Privately Held;slate.fr;
 Octalino;Collégien, Seine-et-Marne, Île-De-France, France, Torcy, Europe;24;IT Services and IT Consulting;2007;;Privately Held;octalino.com;
 LA FINANCIERE;Paris, Paris, Île-De-France, France, Europe;35;Financial Services;;;;wn.com;
 Tremau;Paris, Paris, Île-De-France, France, Europe;44;Technology, Information and Internet;2021;;Privately Held;tremau.com;
 Sogilis, Level Up together !;Grenoble, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;40;Software Development;2008;;Privately Held;sogilis.com;
 GAYA;Paris, Paris, Île-De-France, France, Europe;223;Technology, Information and Internet;2002;;Privately Held;gaya.fr;
 CIS;Le Haillan, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;317;IT Services and IT Consulting;;;Privately Held;ville-lehaillan.fr;
 GITEM;Angres, Pas-de-Calais, Hauts-de-France, France, Lens, Europe;97;Financial Services;;;;gitem.fr;
 TX2 CONCEPT;Olivet, Loiret, Centre-Val de Loire, France, Orléans, Europe;38;Software Development;1991;;Privately Held;tx2.fr;
 Top Systems;Dezize-lès-Maranges, Saône-et-Loire, Bourgogne-Franche-Comté, France, Autun, Europe;31;Software Development;2003;;Privately Held;topsystems.io;
 Ciro Solution;Gavray, Manche, Normandie, France, Coutances, Europe;20;IT Services and IT Consulting;2015;;Privately Held;gavraysursienne.fr;
 KANTENA TECHNOLOGIES;Paris, Paris, Île-De-France, France, Europe;24;Software Development;2002;;Privately Held;kantenatechnologies.com;
 :probabl.;Paris, Paris, Île-De-France, France, Europe;51;Software Development;2023;;Privately Held;probabl.fr;
 ASO Savings & Loans PLC;Die, Drôme, Auvergne-Rhône-Alpes, France, Die, Europe;322;Financial Services;1995;;Public Company;gov.ng;
 Oxalys;La Garenne-Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;72;Software Development;1987;;Privately Held;oxalys.fr;
 Vitalépargne;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;25;Financial Services;2005;;Privately Held;vitalepargne.com;
 TERENUI;Mont-près-Chambord, Loir-et-Cher, Centre-Val de Loire, France, Blois, Europe;29;Software Development;1998;;Privately Held;terenui.fr;
 GROUPE ALLIANCE;Paris, Paris, Île-De-France, France, Europe;76;IT Services and IT Consulting;1997;;Partnership;alliance.com;
 MipihSIB;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;386;IT Services and IT Consulting;1993;;Government Agency;numihfrance.fr;
 Innlog;Olonne-sur-Mer, Vendée, Pays de la Loire, France, Les Sables-d'Olonne, Europe;36;Software Development;1983;;Privately Held;innlog.fr;
 SAPAK;Paris, Paris, Île-De-France, France, Europe;27;Financial Services;;;;sapak.fr;
 NSAA;Chasseneuil-du-Poitou, Vienne, Nouvelle-Aquitaine, France, Poitiers, Europe;26;Financial Services;;;;nsaa.net;
 P&G Conseils;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;41;Financial Services;1998;;Privately Held;hugedomains.com;
 LGU CONSULTING;Suresnes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;84;Software Development;;;;societeinfo.com;
 CROWN HEIGHTS;Charbonnières-les-Bains, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;81;Software Development;1990;;Partnership;crown.fr;
 CAPCAT;Neuvy-Pailloux, Indre, Centre-Val de Loire, France, Issoudun, Europe;35;Financial Services;;;;perfectdomain.com;
 GROUPE CANAL +;Issy-les-Moulineaux, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;58;Financial Services;;;;canalplus.com;
 PROCOMM - MMC;Alfortville, Val-de-Marne, Île-De-France, France, Créteil, Europe;44;IT Services and IT Consulting;1983;;Privately Held;procomm-mmc.com;
 NXO Experts;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;69;IT Services and IT Consulting;2008;;Privately Held;nxo.eu;
 JYN INFO CONSEIL;Le Kremlin-Bicêtre, Val-de-Marne, Île-De-France, France, L'Haÿ-les-Roses, Europe;42;Software Development;;;Privately Held;jynious.com;
 CODETECH SOLUTIONS;La Garenne-Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;22;Software Development;;;;codetechsolutions.fr;
 Compusoft Group | A Cyncly Company;Lunéville, Meurthe-et-Moselle, Grand Est, France, Lunéville, Europe;94;Software Development;1989;;Privately Held;cyncly.com;
 SFI Multimédia;Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France, Saint-Étienne, Europe;24;Technology, Information and Internet;1995;;Partnership;sfi.fr;
 PCA Services - Conseil, courtage LLD et gestion de parc auto;Paris, Paris, Île-De-France, France, Europe;26;Financial Services;2008;;Privately Held;pcaservices.ai;
 Pharmagest Interactive;Villers-lès-Nancy, Meurthe-et-Moselle, Grand Est, France, Nancy, Europe;413;Software Development;1984;;Public Company;pharmagest.com;
 ALIZENT;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;135;IT Services and IT Consulting;;;Privately Held;alizent.com;
 SANEMI;Aubigny-en-Artois, Pas-de-Calais, Hauts-de-France, France, Arras, Europe;32;Financial Services;;;;sanemi.com;
 ooooooooooooo;Paris, Paris, Île-De-France, France, Europe;111;Financial Services;;;Nonprofit;ooooooooooooo.co;
 S3NS;Paris, Paris, Île-De-France, France, Europe;179;Technology, Information and Internet;2022;;Public Company;s3ns.fr;
 Hargos : spécialiste SAP pour PME;Paris, Paris, Île-De-France, France, Europe;22;IT Services and IT Consulting;2019;;Privately Held;hargos.fr;
 BCS Technologies;Pantin, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;25;IT Services and IT Consulting;2000;;Partnership;globalsecuritymag.fr;
 Aplicit;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;53;Software Development;2006;;Privately Held;aplicit.com;
 GRAINE;Plouézec, Côtes-d'Armor, Bretagne, France, Saint-Brieuc, Europe;28;Financial Services;;;;graine.fr;
 Efluid SAS;Metz, Moselle, Grand Est, France, Europe;185;Software Development;;;Privately Held;efluid.com;
 Studapart;Paris, Paris, Île-De-France, France, Europe;78;Software Development;2014;;Partnership;studapart.com;
 Advenis;Paris, Paris, Île-De-France, France, Europe;196;Financial Services;1995;;Public Company;advenis.com;
 Micropole;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;821;IT Services and IT Consulting;;;Privately Held;talan.com;
 AB InBev France S.A.S.;Nice, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Nice, Europe;27;Software Development;;;;ab-inbev.fr;
 Custy;Strasbourg, Bas-Rhin, Grand Est, France, Strasbourg, Europe;77;Software Development;;;Privately Held;custy.com;
 LK TECHNOLOGY - LKT;Créteil, Val-de-Marne, Île-De-France, France, Créteil, Europe;24;IT Services and IT Consulting;;;Privately Held;lk.world;
 SOLVACE;Paris, Paris, Île-De-France, France, Europe;88;Software Development;2015;;Privately Held;solvace.com;
 Confluences IT;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;23;IT Services and IT Consulting;2012;;Partnership;confluences-it.com;
 eData Voice - Skilliance Group;Eysines, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;84;Software Development;1995;;Privately Held;edatavoice.com;
 B2O - BUSINESS OFFICE OXYGEN;Vern-sur-Seiche, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;20;Software Development;2010;;Privately Held;b2o.eu;
 Smartway Accounting & Tax Services;Uckange, Moselle, Grand Est, France, Thionville, Europe;65;Financial Services;2017;;Privately Held;smartwayaccounting.com;
 GEO CONSEILS;Angers, Maine-et-Loire, Pays de la Loire, France, Angers, Europe;56;Financial Services;1994;;Privately Held;geoconseils.fr;
 IDAKTO;Paris, Paris, Île-De-France, France, Europe;66;Software Development;2019;;Privately Held;idakto.com;
 OUDART;Paris, Paris, Île-De-France, France, Europe;23;Financial Services;1988;;Privately Held;cholet-dupont-oudart.fr;
 Clever Age;Paris, Paris, Île-De-France, France, Europe;266;IT Services and IT Consulting;2001;;Privately Held;hugedomains.com;
 ROS DIGITAL IT;Chatou, Yvelines, Île-De-France, France, Saint-Germain-en-Laye, Europe;21;IT Services and IT Consulting;;;Public Company;rosdigitalit.fr;
 Universign (Signaturit Group);Paris, Paris, Île-De-France, France, Europe;68;Software Development;2001;;Privately Held;signaturit.com;
